# ESP8 function entries: 0xADDR,<T|A> (Thumb/ARM). Mixed-ISA RE metadata only.
# Recreated by EspCreateFns.java (sets TMode per Thumb entry) in reproduce.sh.
0x00056ba0,A
0x00056bf0,A
0x00056c1c,A
0x00056c48,A
0x00056c64,A
0x00056c84,A
0x00056d2c,A
0x00056e08,A
0x00056ecc,A
0x00056fe0,T
0x00057044,T
0x00057530,A
0x000575f4,A
0x00057624,A
0x00057708,A
0x000578b0,A
0x000578d4,A
0x00057a80,A
0x00057fd0,A
0x00058518,A
0x00058994,A
0x00058a54,A
0x00058f90,T
0x00058f94,A
0x000594c8,T
0x00059500,T
0x000595de,T
0x0005969a,T
0x000597cc,T
0x00059888,T
0x000598c2,T
0x000598e6,T
0x00059970,T
0x000599fc,A
0x00059f28,A
0x00059fe8,A
0x0005a248,A
0x0005a2c0,A
0x0005a450,T
0x0005a494,T
0x0005a51a,T
0x0005a618,T
0x0005a77e,T
0x0005a800,T
0x0005a8a8,T
0x0005a978,A
0x0005ab04,A
0x0005ab98,A
0x0005ae8c,T
0x0005b29c,T
0x0005b2cc,T
0x0005b38c,T
0x0005b690,T
0x0005b888,T
0x0005b8fe,T
0x0005b936,T
0x0005bae8,T
0x0005bb64,T
0x0005bc3a,T
0x0005bc78,T
0x0005bd78,A
0x0005c190,A
0x0005c260,A
0x0005c374,A
0x0005c744,T
0x0005c7da,T
0x0005c81c,T
0x0005c972,T
0x0005c99e,T
0x0005c9b4,T
0x0005c9be,T
0x0005ca8a,T
0x0005caa6,T
0x0005cac2,T
0x0005cad2,T
0x0005caf0,T
0x0005cb34,T
0x0005cba4,T
0x0005cbe8,T
0x0005cc24,A
0x0005ccf8,A
0x0005cd6c,A
0x0005ce10,A
0x0005cf10,A
0x0005d01c,A
0x0005d088,A
0x0005d0f8,T
0x0005d4b8,T
0x0005d5c0,A
0x0005d818,A
0x0005d86c,A
0x0005da84,A
0x0005dea0,A
0x0005df44,A
0x0005e2e4,A
0x0005e2f8,A
0x0005e30c,A
0x0005e320,A
0x0005e334,A
0x0005e348,A
0x0005e35c,A
0x0005e370,A
0x0005e384,A
0x0005e398,A
0x0005e3ac,A
0x0005e3c0,A
0x0005e404,A
0x0005e8c0,A
0x0005e97c,A
0x0005ea54,A
0x0005eb14,A
0x0005eb70,A
0x0005ebd4,A
0x0005ec14,A
0x0005ed78,A
0x0005ee10,A
0x0005f272,T
0x0005f2ba,T
0x0005f2ca,T
0x0005f2de,T
0x0005f320,T
0x0005f32a,T
0x0005f33c,T
0x0005f346,T
0x0005f352,T
0x0005f362,T
0x0005f36a,T
0x0005f372,T
0x0005f378,T
0x0005f3be,T
0x0005f3fe,T
0x0005f43a,T
0x0005f462,T
0x0005f4c2,T
0x0005f4da,T
0x0005f4fe,T
0x0005f506,T
0x0005f50e,T
0x0005f57c,T
0x0005f60c,T
0x0005f6c0,A
0x0005f73c,A
0x0005f768,A
0x0005fb50,T
0x0005fb6e,T
0x0005ffd8,T
0x00060390,T
0x000603ac,T
0x00060454,A
0x0006072c,A
0x000608c4,T
0x000609c2,T
0x00060a0c,T
0x00060a68,T
0x00060b64,T
0x00060ba4,T
0x00060c10,T
0x00060c90,T
0x00060d2c,T
0x00060dac,T
0x00061194,A
0x00061558,A
0x000615f4,T
0x00061748,T
0x00061a54,A
0x00061eb4,T
0x00061f84,T
0x00062000,T
0x000620f8,T
0x00062234,T
0x00062308,T
0x0006274c,T
0x00062b28,T
0x00062b8c,T
0x00062baa,T
0x00062bc2,T
0x00062fc4,T
0x00062fe8,T
0x000630e0,T
0x000632e4,T
0x0006339a,T
0x000633fc,A
0x0006382c,A
0x00063898,A
0x000638ec,A
0x00063960,A
0x00063c5c,T
0x00063c80,T
0x00063c9e,T
0x00063cc0,T
0x00063d60,T
0x00063d74,T
0x00063d80,T
0x00063da4,T
0x00063db4,T
0x00063de6,T
0x00063e22,T
0x00063e38,T
0x00063efe,T
0x00063f60,T
0x00063f9a,T
0x00064010,T
0x00064084,A
0x000644a8,A
0x000648c8,A
0x000649d2,T
0x00064a9e,T
0x00064aba,T
0x00064c20,T
0x00064ce4,A
0x00064f34,A
0x00064fb8,A
0x000650e4,T
0x00065140,T
0x0006521e,T
0x00065230,T
0x000653bc,T
0x00065434,T
0x00065444,T
0x00065470,T
0x000654dc,T
0x00065538,T
0x0006562e,T
0x00065650,T
0x0006565c,T
0x00065684,T
0x000656c6,T
0x000656e8,T
0x00065742,T
0x000658c8,T
0x00065cb4,A
0x00065e58,A
0x00065e70,A
0x00065e78,A
0x00065e80,A
0x00065e8c,A
0x00065ea4,A
0x00065ed4,A
0x00065f0c,A
0x00065f24,A
0x00065f3c,A
0x00065f5c,A
0x00065fd4,A
0x0006609c,T
0x000660a4,T
0x000660b2,T
0x000660ba,T
0x000660d4,T
0x0006613e,T
0x0006616e,T
0x0006636e,T
0x00066376,T
0x0006637e,T
0x00066386,T
0x0006638e,T
0x000663da,T
0x000663ee,T
