table,record,did,length,flags,access,target,target_kind
measuring,0x800847c8,0x1188,1,0x00020f,data-pointer (fixed length),0xd000b4fb,ram
measuring,0x800847d4,0x11a4,1,0x00020f,data-pointer (fixed length),0xd000a6f3,ram
measuring,0x800847e0,0x11a5,1,0x00020f,data-pointer (fixed length),0xd000a6eb,ram
measuring,0x800847ec,0x11a6,1,0x00020f,data-pointer (fixed length),0xd000a6ff,ram
measuring,0x800847f8,0x11a7,1,0x00020f,data-pointer (fixed length),0xd000a700,ram
measuring,0x80084804,0x11a8,2,0x00010f,data-pointer (fixed length),0x8008b4ac,code
measuring,0x80084810,0x11a9,1,0x00020f,data-pointer (fixed length),0xd000a708,ram
measuring,0x8008481c,0x11aa,1,0x00020f,data-pointer (fixed length),0xd000a709,ram
measuring,0x80084828,0x392d,1,0x00020f,data-pointer (fixed length),0xd000b32f,ram
measuring,0x80084834,0x392e,1,0x00020f,data-pointer (fixed length),0xd000b330,ram
measuring,0x80084840,0x392f,1,0x00020f,data-pointer (fixed length),0xd000afef,ram
measuring,0x8008484c,0x3930,2,0x00010f,data-pointer (fixed length),0x8008b4b4,code
measuring,0x80084858,0x3931,2,0x00010f,data-pointer (fixed length),0x8008b4bc,code
measuring,0x80084864,0x3932,2,0x00010f,data-pointer (fixed length),0x8008b4c4,code
measuring,0x80084870,0x3933,1,0x00020f,data-pointer (fixed length),0xd000b270,ram
measuring,0x8008487c,0x11ab,2,0x00010f,data-pointer (fixed length),0x8008b4cc,code
measuring,0x80084888,0x4149,2,0x00010f,data-pointer (fixed length),0x8008b4cc,code
measuring,0x80084894,0x11ac,2,0x00010f,data-pointer (fixed length),0x8008b4d4,code
measuring,0x800848a0,0x414a,2,0x00010f,data-pointer (fixed length),0x8008b4d4,code
measuring,0x800848ac,0x11ad,2,0x00010f,data-pointer (fixed length),0x8008b4dc,code
measuring,0x800848b8,0x414b,2,0x00010f,data-pointer (fixed length),0x8008b4dc,code
measuring,0x800848c4,0x11ae,2,0x00010f,data-pointer (fixed length),0x8008b4e4,code
measuring,0x800848d0,0x4164,2,0x00010f,data-pointer (fixed length),0x8008b4e4,code
measuring,0x800848dc,0x11c7,1,0x00020f,data-pointer (fixed length),0xd000e243,ram
measuring,0x800848e8,0x11c8,1,0x00020f,data-pointer (fixed length),0xd000affb,ram
measuring,0x800848f4,0x11c9,2,0x00010f,data-pointer (fixed length),0x8008b4fc,code
measuring,0x80084900,0x11ca,1,0x00020f,data-pointer (fixed length),0xd000a183,ram
measuring,0x8008490c,0x11cb,1,0x00020f,data-pointer (fixed length),0xd000a74a,ram
measuring,0x80084918,0x11cc,1,0x00020f,data-pointer (fixed length),0xd000af10,ram
measuring,0x80084924,0x11cd,1,0x00020f,data-pointer (fixed length),0xd000af11,ram
measuring,0x80084930,0x11ce,2,0x00010f,data-pointer (fixed length),0x8008b4ec,code
measuring,0x8008493c,0x11cf,1,0x00020f,data-pointer (fixed length),0xd000af21,ram
measuring,0x80084948,0x11d0,1,0x00020f,data-pointer (fixed length),0xd000af22,ram
measuring,0x80084954,0x11d1,1,0x00020f,data-pointer (fixed length),0xd000af2a,ram
measuring,0x80084960,0x11d2,1,0x00020f,data-pointer (fixed length),0xd000af2b,ram
measuring,0x8008496c,0x11d3,1,0x00020f,data-pointer (fixed length),0xd000af2c,ram
measuring,0x80084978,0x11d4,1,0x00020f,data-pointer (fixed length),0xd0001bdb,ram
measuring,0x80084984,0x11d5,1,0x00020f,data-pointer (fixed length),0xd0001bdc,ram
measuring,0x80084990,0x11d6,2,0x00010f,data-pointer (fixed length),0x8008b4f4,code
measuring,0x8008499c,0x11d7,1,0x00020f,data-pointer (fixed length),0xd000af32,ram
measuring,0x800849a8,0x11d8,1,0x00020f,data-pointer (fixed length),0xd000b61a,ram
measuring,0x800849b4,0x11d9,1,0x00020f,data-pointer (fixed length),0xd000b61b,ram
measuring,0x800849c0,0x11da,1,0x00020f,data-pointer (fixed length),0xd000b61c,ram
measuring,0x800849cc,0x11db,1,0x00020f,data-pointer (fixed length),0xd000b62e,ram
measuring,0x800849d8,0x11dc,1,0x00020f,data-pointer (fixed length),0xd000b5f2,ram
measuring,0x800849e4,0x11dd,1,0x00020f,data-pointer (fixed length),0xd000b5ef,ram
measuring,0x800849f0,0x11de,1,0x00020f,data-pointer (fixed length),0xd000b622,ram
measuring,0x800849fc,0x11df,1,0x00020f,data-pointer (fixed length),0xd000b5ee,ram
measuring,0x80084a08,0x11e0,1,0x00020f,data-pointer (fixed length),0xd000b573,ram
measuring,0x80084a14,0x11e1,1,0x00020f,data-pointer (fixed length),0xd000b572,ram
measuring,0x80084a20,0x11e2,1,0x00020f,data-pointer (fixed length),0xd000b3ed,ram
measuring,0x80084a2c,0x11e3,1,0x00020f,data-pointer (fixed length),0xd000b3ee,ram
measuring,0x80084a38,0x11e4,1,0x00020f,data-pointer (fixed length),0xd000b3ef,ram
measuring,0x80084a44,0x11e5,1,0x00020f,data-pointer (fixed length),0xd000b3f0,ram
measuring,0x80084a50,0x11e6,1,0x00020f,data-pointer (fixed length),0xd000b3f1,ram
measuring,0x80084a5c,0x11e7,1,0x00020f,data-pointer (fixed length),0xd000b3f2,ram
measuring,0x80084a68,0x11e8,1,0x00020f,data-pointer (fixed length),0xd000b3e7,ram
measuring,0x80084a74,0x11e9,1,0x00020f,data-pointer (fixed length),0xd000b3e8,ram
measuring,0x80084a80,0x11ea,1,0x00020f,data-pointer (fixed length),0xd000b3e9,ram
measuring,0x80084a8c,0x11eb,1,0x00020f,data-pointer (fixed length),0xd000b3ea,ram
measuring,0x80084a98,0x11ec,1,0x00020f,data-pointer (fixed length),0xd000b3eb,ram
measuring,0x80084aa4,0x11ed,1,0x00020f,data-pointer (fixed length),0xd000b3ec,ram
measuring,0x80084ab0,0x11ee,1,0x00020f,data-pointer (fixed length),0xd000b3f3,ram
measuring,0x80084abc,0x11ef,1,0x00020f,data-pointer (fixed length),0xd000b584,ram
measuring,0x80084ac8,0x13b0,1,0x00020f,data-pointer (fixed length),0xd000b5e6,ram
measuring,0x80084ad4,0x13b1,1,0x00020f,data-pointer (fixed length),0xd000b5e7,ram
measuring,0x80084ae0,0x13b2,1,0x00020f,data-pointer (fixed length),0xd000b5e8,ram
measuring,0x80084aec,0x13b3,1,0x00020f,data-pointer (fixed length),0xd000b5e9,ram
measuring,0x80084af8,0x13b4,1,0x00020f,data-pointer (fixed length),0xd000b5ea,ram
measuring,0x80084b04,0x13b5,1,0x00020f,data-pointer (fixed length),0xd000b5eb,ram
measuring,0x80084b10,0x11f2,1,0x00020f,data-pointer (fixed length),0xd000b5ec,ram
measuring,0x80084b1c,0x11f3,1,0x00020f,data-pointer (fixed length),0xd000b5ed,ram
measuring,0x80084b28,0x11f4,0,0x00040f,"handler(buf,emit)->length (variable)",0x80122350,code
measuring,0x80084b34,0x11f5,0,0x00040f,"handler(buf,emit)->length (variable)",0x8012236c,code
measuring,0x80084b40,0x11f6,0,0x00040f,"handler(buf,emit)->length (variable)",0x80122388,code
measuring,0x80084b4c,0x11f7,0,0x00040f,"handler(buf,emit)->length (variable)",0x801223a4,code
measuring,0x80084b58,0x11f8,0,0x00040f,"handler(buf,emit)->length (variable)",0x801223c0,code
measuring,0x80084b64,0x11f9,0,0x00040f,"handler(buf,emit)->length (variable)",0x801223dc,code
measuring,0x80084b70,0x11fa,0,0x00040f,"handler(buf,emit)->length (variable)",0x801223f8,code
measuring,0x80084b7c,0x11fb,0,0x00040f,"handler(buf,emit)->length (variable)",0x80122414,code
measuring,0x80084b88,0x11fc,0,0x00040f,"handler(buf,emit)->length (variable)",0x80122430,code
measuring,0x80084b94,0x11fd,0,0x00040f,"handler(buf,emit)->length (variable)",0x8012244c,code
measuring,0x80084ba0,0x11fe,2,0x00010f,data-pointer (fixed length),0x8008b504,code
measuring,0x80084bac,0x11ff,2,0x00010f,data-pointer (fixed length),0x8008b50c,code
measuring,0x80084bb8,0x1200,1,0x00020f,data-pointer (fixed length),0xd000afbe,ram
measuring,0x80084bc4,0x1201,2,0x00010f,data-pointer (fixed length),0x8008b514,code
measuring,0x80084bd0,0x1202,2,0x00010f,data-pointer (fixed length),0x8008b51c,code
measuring,0x80084bdc,0x1203,1,0x00020f,data-pointer (fixed length),0xd000b616,ram
measuring,0x80084be8,0x1204,1,0x00020f,data-pointer (fixed length),0xd000b617,ram
measuring,0x80084bf4,0x1205,1,0x00020f,data-pointer (fixed length),0xd000b5f5,ram
measuring,0x80084c00,0x1206,1,0x00020f,data-pointer (fixed length),0xd000b634,ram
measuring,0x80084c0c,0x1207,1,0x00020f,data-pointer (fixed length),0xd000b635,ram
measuring,0x80084c18,0x1208,1,0x00020f,data-pointer (fixed length),0xd000b632,ram
measuring,0x80084c24,0x1209,1,0x00020f,data-pointer (fixed length),0xd000b633,ram
measuring,0x80084c30,0x120a,1,0x00020f,data-pointer (fixed length),0xd000b628,ram
measuring,0x80084c3c,0x120b,1,0x00020f,data-pointer (fixed length),0xd000b629,ram
measuring,0x80084c48,0x120c,1,0x00020f,data-pointer (fixed length),0xd000b63a,ram
measuring,0x80084c54,0x120d,1,0x00020f,data-pointer (fixed length),0xd000b63b,ram
measuring,0x80084c60,0x120e,1,0x00020f,data-pointer (fixed length),0xd000b636,ram
measuring,0x80084c6c,0x120f,1,0x00020f,data-pointer (fixed length),0xd000b637,ram
measuring,0x80084c78,0x1210,1,0x00020f,data-pointer (fixed length),0xd000b62f,ram
measuring,0x80084c84,0x1211,1,0x00020f,data-pointer (fixed length),0xd000b630,ram
measuring,0x80084c90,0x1212,1,0x00020f,data-pointer (fixed length),0xd000b631,ram
measuring,0x80084c9c,0x1213,1,0x00020f,data-pointer (fixed length),0xd000b581,ram
measuring,0x80084ca8,0x1214,1,0x00020f,data-pointer (fixed length),0xd000b582,ram
measuring,0x80084cb4,0x1215,1,0x00020f,data-pointer (fixed length),0xd000b57f,ram
measuring,0x80084cc0,0x1216,1,0x00020f,data-pointer (fixed length),0xd000b580,ram
measuring,0x80084ccc,0x1217,1,0x00020f,data-pointer (fixed length),0xd000b586,ram
measuring,0x80084cd8,0x1218,1,0x00020f,data-pointer (fixed length),0xd000b587,ram
measuring,0x80084ce4,0x1219,1,0x00020f,data-pointer (fixed length),0xd000b583,ram
measuring,0x80084cf0,0x121a,1,0x00020f,data-pointer (fixed length),0xd000b585,ram
measuring,0x80084cfc,0x126a,1,0x00020f,data-pointer (fixed length),0xd000b623,ram
measuring,0x80084d08,0x1269,1,0x00020f,data-pointer (fixed length),0xd000b624,ram
measuring,0x80084d14,0x1268,1,0x00020f,data-pointer (fixed length),0xd000b638,ram
measuring,0x80084d20,0x1267,1,0x00020f,data-pointer (fixed length),0xd000b639,ram
measuring,0x80084d2c,0x1266,1,0x00020f,data-pointer (fixed length),0xd000b5f6,ram
measuring,0x80084d38,0x1265,1,0x00020f,data-pointer (fixed length),0xd000b5f7,ram
measuring,0x80084d44,0x121c,4,0x00010f,data-pointer (fixed length),0x8008b524,code
measuring,0x80084d50,0x121d,1,0x00030f,handler(buf) emits fixed length,0x80120590,code
measuring,0x80084d5c,0x121e,2,0x00010f,data-pointer (fixed length),0x8008b534,code
measuring,0x80084d68,0x121f,2,0x00010f,data-pointer (fixed length),0x8008b53c,code
measuring,0x80084d74,0x1220,2,0x00010f,data-pointer (fixed length),0x8008b544,code
measuring,0x80084d80,0x1221,2,0x00010f,data-pointer (fixed length),0x8008b54c,code
measuring,0x80084d8c,0x1222,2,0x00010f,data-pointer (fixed length),0x8008b554,code
measuring,0x80084d98,0x1223,2,0x00010f,data-pointer (fixed length),0x8008b55c,code
measuring,0x80084da4,0x1244,1,0x00020f,data-pointer (fixed length),0xd000b64e,ram
measuring,0x80084db0,0x1245,2,0x00010f,data-pointer (fixed length),0x8008b564,code
measuring,0x80084dbc,0x1246,2,0x00010f,data-pointer (fixed length),0x8008b56c,code
measuring,0x80084dc8,0x1247,2,0x00010f,data-pointer (fixed length),0x8008b574,code
measuring,0x80084dd4,0x126c,1,0x00020f,data-pointer (fixed length),0xd000af5b,ram
measuring,0x80084de0,0x126d,1,0x00020f,data-pointer (fixed length),0xd000af52,ram
measuring,0x80084dec,0x126e,1,0x00020f,data-pointer (fixed length),0xd000af50,ram
measuring,0x80084df8,0x126f,1,0x00020f,data-pointer (fixed length),0xd000af3c,ram
